date,open,high,low,close,volume
2016-04-08,35.2726,35.4997,34.8628,35.2133,6398373
2016-04-11,35.4207,36.0132,35.3121,35.4306,9688098
2016-04-12,35.5491,35.5984,34.6998,35.3911,7319077
2016-04-13,35.5491,36.2897,35.5491,36.2798,8767861
2016-04-14,36.181,36.5365,36.0329,36.3785,10414131
2016-04-15,36.3687,36.9908,36.2521,36.6649,10924273
2016-04-18,36.5958,36.5958,36.1514,36.5069,7683044
2016-04-19,36.6452,36.7143,35.6281,35.8552,7728777
2016-04-20,35.7959,36.2107,35.7564,35.9934,5004434
2016-04-21,36.0033,36.1712,35.7959,35.9539,4456989
2016-04-22,36.0724,36.3193,35.6922,35.8157,5588539
2016-04-25,35.8256,36.1909,35.7268,35.9934,4799765
2016-04-26,36.2107,36.6254,35.8651,36.023,5363364
2016-04-27,35.9342,36.8624,35.868,36.8427,8809858
2016-04-28,36.6155,36.8328,35.6577,35.7466,9530551
2016-04-29,35.5984,35.6774,34.6998,35.0849,8047562
2016-05-02,35.4207,35.7663,35.2528,35.5491,6401920
2016-05-03,35.1442,35.2923,34.8193,35.1244,5600585
2016-05-04,34.6998,34.7295,33.9691,34.3246,13144065
2016-05-05,34.611,34.9368,34.2752,34.532,6172113
2016-05-06,34.4727,34.9813,34.4036,34.8875,4581000
2016-05-09,34.9763,35.1244,34.5517,34.8381,8333411
2016-05-10,35.0553,35.5688,34.7196,35.5096,6741929
2016-05-11,35.6182,36.0033,35.4207,35.6083,8204441
2016-05-12,35.8651,36.023,34.4925,35.1244,16763533
2016-05-13,38.6991,40.4864,38.5115,40.4667,52756404
2016-05-16,40.1606,42.2639,40.0322,41.6615,24325757
2016-05-17,41.4739,42.0466,40.9408,41.7504,15709762
2016-05-18,41.4739,43.3007,41.4739,42.8169,13526797
2016-05-19,42.649,43.3092,42.5898,43.0045,9971981
2016-05-20,43.2711,43.9525,43.202,43.7747,9777090
2016-05-23,43.9623,44.1302,43.5772,43.8438,10340877
2016-05-24,43.9775,45.0467,43.8587,44.9081,10394721
2016-05-25,45.0467,45.2348,44.3636,44.72,11469411
2016-05-26,44.7992,45.522,44.6705,45.1952,7749081
2016-05-27,45.2447,45.5121,45.0962,45.4428,6935389
2016-05-31,45.6408,46.3486,45.6111,46.2546,10313131
2016-06-01,46.0368,46.7892,45.8982,46.3437,9678267
2016-06-02,46.5912,47.0664,46.1358,46.6704,8230202
2016-06-03,46.215,46.2744,45.2051,46.017,11526864
2016-06-06,46.1358,46.4922,45.5418,45.7794,8062841
2016-06-07,46.0566,46.314,45.8487,45.8685,4835017
2016-06-08,45.8784,46.0467,45.3437,45.72,5865431
2016-06-09,45.5616,46.9773,45.4626,46.908,11804167
2016-06-10,46.3536,46.7694,45.6804,45.7398,10000592
2016-06-13,45.7893,47.2234,45.7893,46.3239,11889674
2016-06-14,46.215,46.6308,45.6952,46.413,7458639
2016-06-15,46.7991,47.2941,46.2843,46.8882,7525868
2016-06-16,46.5417,47.1555,46.0873,47.0763,6161428
2016-06-17,47.1357,47.1456,46.0665,46.2546,11775048
2016-06-20,46.9971,47.6901,46.9674,47.0862,7344230
2016-06-21,47.2842,47.4129,46.7298,46.7991,5312661
2016-06-22,46.8981,47.205,46.6803,46.7595,5065516
2016-06-23,47.205,48.0564,47.1753,48.0069,7446994
2016-06-24,46.0368,46.8882,44.8487,45.2744,25442111
2016-06-27,44.8982,45.2447,44.126,44.7893,11258487
2016-06-28,45.6408,45.6902,44.819,45.4428,9547980
2016-06-29,45.8388,46.5417,45.72,46.1853,7973264
2016-06-30,46.2645,46.8288,45.8883,46.5417,10773475
2016-07-01,46.2843,46.8882,46.0368,46.1952,5462198
2016-07-05,45.9378,46.9575,45.5715,46.8783,9277061
2016-07-06,46.5516,47.4476,46.314,47.1753,6827594
2016-07-07,47.4921,48.5713,47.2743,48.403,9884992
2016-07-08,48.9178,50.582,48.7297,50.3434,12048273
2016-07-11,51.0662,51.878,51.0068,51.5018,11219437
2016-07-12,52.076,52.7492,51.4226,52.274,10919045
2016-07-13,52.373,52.67,52.175,52.2542,8115130
2016-07-14,52.5314,53.2641,52.0958,52.7888,7922283
2016-07-15,52.1156,52.4077,51.3246,52.175,10715357
2016-07-18,52.8185,52.8977,52.2443,52.4423,6324838
2016-07-19,52.4126,53.1941,52.3136,52.9868,9566250
2016-07-20,53.165,53.962,52.9472,53.6799,7411502
2016-07-21,53.5611,53.7294,52.5116,52.6898,9032697
2016-07-22,52.8779,54.1254,52.4918,54.1254,7894165
2016-07-25,54.4521,55.254,54.2145,55.1253,7813211
2016-07-26,55.6104,56.353,55.5312,56.0659,12862739
2016-07-27,56.551,56.65,55.1649,55.5015,11166886
2016-07-28,55.6302,56.0362,55.4557,55.6203,5547934
2016-07-29,55.8282,56.6797,54.8283,56.5312,10239664
2016-08-01,56.7688,56.9767,55.7985,56.1649,7527970
